doc_id,doi,title,lib,class_name,chunk_count
doc_0001,10.1002/adma.200900677,10.1002/adma.200900677,lib1,classA,59
doc_0002,10.1002/adma.201400087,10.1002/adma.201400087,lib1,classA,198
doc_0003,10.1002/adma.201400955,10.1002/adma.201400955,lib1,classA,50
doc_0004,10.1002/adma.201502696,10.1002/adma.201502696,lib1,classA,148
doc_0005,10.1002/adma.201504766,10.1002/adma.201504766,lib1,classA,281
doc_0006,10.1002/adma.201505045,10.1002/adma.201505045,lib1,classA,68
doc_0007,10.1002/adma.201600469,10.1002/adma.201600469,lib1,classA,93
doc_0008,10.1002/adma.201606793,10.1002/adma.201606793,lib1,classA,73
doc_0009,10.1002/adma.201701784,10.1002/adma.201701784,lib1,classA,139
doc_0010,10.1002/adma.201704649,10.1002/adma.201704649,lib1,classA,224
doc_0011,10.1002/adma.201705431,10.1002/adma.201705431,lib1,classA,88
doc_0012,10.1002/adma.201705872,10.1002/adma.201705872,lib1,classA,52
doc_0013,10.1002/adma.201706108,10.1002/adma.201706108,lib1,classA,95
doc_0014,10.1002/adma.201706287,10.1002/adma.201706287,lib1,classA,102
doc_0015,10.1002/adma.201802858,10.1002/adma.201802858,lib1,classA,63
doc_0016,10.1002/adma.201803111,10.1002/adma.201803111,lib1,classA,49
doc_0017,10.1002/adma.201804257,10.1002/adma.201804257,lib1,classA,176
doc_0018,10.1002/adma.201804710,10.1002/adma.201804710,lib1,classA,92
doc_0019,10.1002/adma.201804867,10.1002/adma.201804867,lib1,classA,76
doc_0020,10.1002/adma.201805405,10.1002/adma.201805405,lib1,classA,67
doc_0021,10.1002/adma.201805617,10.1002/adma.201805617,lib1,classA,130
doc_0022,10.1002/adma.201808276,10.1002/adma.201808276,lib1,classA,65
doc_0023,10.1002/adma.201870088,10.1002/adma.201870088,lib1,classA,4
doc_0024,10.1002/adma.201902033,10.1002/adma.201902033,lib1,classA,163
doc_0025,10.1002/adma.201902868,10.1002/adma.201902868,lib1,classA,57
doc_0026,10.1002/adma.201903470,10.1002/adma.201903470,lib1,classA,67
doc_0027,10.1002/adma.201905622,10.1002/adma.201905622,lib1,classA,74
doc_0028,10.1002/adma.201906193,10.1002/adma.201906193,lib1,classA,79
doc_0029,10.1002/adma.201908398,10.1002/adma.201908398,lib1,classA,160
doc_0030,10.1002/adma.202000992,10.1002/adma.202000992,lib1,classA,63
doc_0031,10.1002/adma.202001848,10.1002/adma.202001848,lib1,classA,193
doc_0032,10.1002/adma.202002382,10.1002/adma.202002382,lib1,classA,96
doc_0033,10.1002/adma.202002430,10.1002/adma.202002430,lib1,classA,96
doc_0034,10.1002/adma.202005113,10.1002/adma.202005113,lib1,classA,99
doc_0035,10.1002/adma.202005821,10.1002/adma.202005821,lib1,classA,66
doc_0036,10.1002/adma.202008151,10.1002/adma.202008151,lib1,classA,243
doc_0037,10.1002/adma.202102576,10.1002/adma.202102576,lib1,classA,103
doc_0038,10.1002/adma.202103150,10.1002/adma.202103150,lib1,classA,78
doc_0039,10.1002/aenm.201402031,10.1002/aenm.201402031,lib1,classA,95
doc_0040,10.1002/aenm.201601979,10.1002/aenm.201601979,lib1,classA,97
doc_0041,10.1002/aenm.201602114,10.1002/aenm.201602114,lib1,classA,82
doc_0042,10.1002/aenm.201700193,10.1002/aenm.201700193,lib1,classA,53
doc_0043,10.1002/aenm.201703487,10.1002/aenm.201703487,lib1,classA,92
doc_0044,10.1002/aenm.201801280,10.1002/aenm.201801280,lib1,classA,127
doc_0045,10.1002/aenm.201801926,10.1002/aenm.201801926,lib1,classA,78
doc_0046,10.1002/aenm.201802238,10.1002/aenm.201802238,lib1,classA,86
doc_0047,10.1002/aenm.201803536,10.1002/aenm.201803536,lib1,classA,91
doc_0048,10.1002/aenm.201900072,10.1002/aenm.201900072,lib1,classA,84
doc_0049,10.1002/aenm.201901228,10.1002/aenm.201901228,lib1,classA,102
doc_0050,10.1002/aenm.201901396,10.1002/aenm.201901396,lib1,classA,73
doc_0051,10.1002/aenm.201902433,10.1002/aenm.201902433,lib1,classA,110
doc_0052,10.1002/aenm.201903879,10.1002/aenm.201903879,lib1,classA,201
doc_0053,10.1002/aenm.201970107,10.1002/aenm.201970107,lib1,classA,4
doc_0054,10.1002/aenm.202001987,10.1002/aenm.202001987,lib1,classA,55
doc_0055,10.1002/aenm.202002592,10.1002/aenm.202002592,lib1,classA,72
doc_0056,10.1002/aenm.202002928,10.1002/aenm.202002928,lib1,classA,64
doc_0057,10.1002/aenm.202003159,10.1002/aenm.202003159,lib1,classA,125
doc_0058,10.1002/aenm.202070164,10.1002/aenm.202070164,lib1,classA,2
doc_0059,10.1002/aenm.202101424,10.1002/aenm.202101424,lib1,classA,128
doc_0060,10.1002/ange.201107352,10.1002/ange.201107352,lib1,classA,24
doc_0061,10.1002/ange.201203607,10.1002/ange.201203607,lib1,classA,48
doc_0062,10.1002/ange.201205741,10.1002/ange.201205741,lib1,classA,20
doc_0063,10.1002/ange.201208750,10.1002/ange.201208750,lib1,classA,14
