doc_id,doi,title,lib,class_name,chunk_count,reaction_system,raw_reaction_system,confidence,status
doc_0001,10.1002/adma.200900677,10.1002/adma.200900677,lib1,classA,59,other_reaction,other_reaction,0.93,ok
doc_0002,10.1002/adma.201400087,10.1002/adma.201400087,lib1,classA,198,CO2RR,CO2RR,0.82,ok
doc_0003,10.1002/adma.201400955,10.1002/adma.201400955,lib1,classA,50,non_reaction,non_reaction,0.92,ok
doc_0004,10.1002/adma.201502696,10.1002/adma.201502696,lib1,classA,148,other_reaction,other_reaction,0.91,ok
doc_0005,10.1002/adma.201504766,10.1002/adma.201504766,lib1,classA,281,CO2RR,CO2RR,0.98,ok
doc_0006,10.1002/adma.201505045,10.1002/adma.201505045,lib1,classA,68,other_reaction,other_reaction,0.9,ok
doc_0008,10.1002/adma.201606793,10.1002/adma.201606793,lib1,classA,73,other_reaction,other_reaction,0.9,ok
doc_0009,10.1002/adma.201701784,10.1002/adma.201701784,lib1,classA,139,CO2RR,CO2RR,0.95,ok
doc_0010,10.1002/adma.201704649,10.1002/adma.201704649,lib1,classA,224,CO2RR,CO2RR,0.88,ok
doc_0011,10.1002/adma.201705431,10.1002/adma.201705431,lib1,classA,88,other_reaction,other_reaction,0.95,ok
doc_0012,10.1002/adma.201705872,10.1002/adma.201705872,lib1,classA,52,CO2RR,CO2RR,0.95,ok
doc_0013,10.1002/adma.201706108,10.1002/adma.201706108,lib1,classA,95,CO2RR,CO2RR,0.8,ok
doc_0014,10.1002/adma.201706287,10.1002/adma.201706287,lib1,classA,102,CO2RR,CO2RR,0.9,ok
doc_0015,10.1002/adma.201802858,10.1002/adma.201802858,lib1,classA,63,CO2RR,CO2RR,0.9,ok
doc_0016,10.1002/adma.201803111,10.1002/adma.201803111,lib1,classA,49,CO2RR,CO2RR,0.95,ok
doc_0017,10.1002/adma.201804257,10.1002/adma.201804257,lib1,classA,176,CO2RR,CO2RR,0.95,ok
doc_0018,10.1002/adma.201804710,10.1002/adma.201804710,lib1,classA,92,CO2RR,CO2RR,0.95,ok
doc_0019,10.1002/adma.201804867,10.1002/adma.201804867,lib1,classA,76,unknown,unknown,0.1,ok
doc_0020,10.1002/adma.201805405,10.1002/adma.201805405,lib1,classA,67,CO2RR,CO2RR,0.92,ok
doc_0021,10.1002/adma.201805617,10.1002/adma.201805617,lib1,classA,130,CO2RR,CO2RR,0.7,ok
doc_0022,10.1002/adma.201808276,10.1002/adma.201808276,lib1,classA,65,unknown,unknown,0.25,ok
doc_0023,10.1002/adma.201870088,10.1002/adma.201870088,lib1,classA,4,unknown,unknown,0.2,ok
doc_0024,10.1002/adma.201902033,10.1002/adma.201902033,lib1,classA,163,CO2RR,CO2RR,0.9,ok
doc_0025,10.1002/adma.201902868,10.1002/adma.201902868,lib1,classA,57,CO2RR,CO2RR,0.88,ok
doc_0026,10.1002/adma.201903470,10.1002/adma.201903470,lib1,classA,67,CO2RR,CO2RR,0.95,ok
doc_0027,10.1002/adma.201905622,10.1002/adma.201905622,lib1,classA,74,other_reaction,other_reaction,0.87,ok
doc_0028,10.1002/adma.201906193,10.1002/adma.201906193,lib1,classA,79,CO2RR,CO2RR,0.9,ok
doc_0029,10.1002/adma.201908398,10.1002/adma.201908398,lib1,classA,160,CO2RR,CO2RR,0.95,ok
doc_0030,10.1002/adma.202000992,10.1002/adma.202000992,lib1,classA,63,CO2RR,CO2RR,0.98,ok
doc_0031,10.1002/adma.202001848,10.1002/adma.202001848,lib1,classA,193,CO2RR,CO2RR,0.95,ok
doc_0032,10.1002/adma.202002382,10.1002/adma.202002382,lib1,classA,96,unknown,unknown,0.12,ok
doc_0033,10.1002/adma.202002430,10.1002/adma.202002430,lib1,classA,96,CO2RR,CO2RR,0.95,ok
doc_0034,10.1002/adma.202005113,10.1002/adma.202005113,lib1,classA,99,CO2RR,CO2RR,0.96,ok
doc_0035,10.1002/adma.202005821,10.1002/adma.202005821,lib1,classA,66,CO2RR,CO2RR,0.95,ok
doc_0036,10.1002/adma.202008151,10.1002/adma.202008151,lib1,classA,243,other_reaction,other_reaction,0.78,ok
doc_0037,10.1002/adma.202102576,10.1002/adma.202102576,lib1,classA,103,non_reaction,non_reaction,0.8,ok
doc_0038,10.1002/adma.202103150,10.1002/adma.202103150,lib1,classA,78,CO2RR,CO2RR,0.98,ok
doc_0039,10.1002/aenm.201402031,10.1002/aenm.201402031,lib1,classA,95,other_reaction,other_reaction,0.91,ok
doc_0040,10.1002/aenm.201601979,10.1002/aenm.201601979,lib1,classA,97,other_reaction,other_reaction,0.88,ok
doc_0041,10.1002/aenm.201602114,10.1002/aenm.201602114,lib1,classA,82,CO2RR,CO2RR,0.93,ok
doc_0042,10.1002/aenm.201700193,10.1002/aenm.201700193,lib1,classA,53,other_reaction,other_reaction,0.95,ok
doc_0043,10.1002/aenm.201703487,10.1002/aenm.201703487,lib1,classA,92,CO2RR,CO2RR,0.95,ok
