src,dst,relation,source_doc_id,source_chunk_id,experiment_ref,paper_doc_id,reaction_system,paper_reaction_system
Failure_Mode:24_HER_activity_loss_after_cycling_on_Pt_pristine_graphene,Cathode:Pt_on_pristine_graphene,caused_by,doc_1808,doc_1808_chunk_165166,,doc_1808,other_reaction,other_reaction
Failure_Mode:30_to_60_times_lower_current_density,Cathode:copper_polymer_catalyst,caused_by,doc_0845,doc_0845_chunk_079946,,doc_0845,CO2RR,CO2RR
Failure_Mode:36_2_current_drop_after_24_h_chronoamperometry_at_0_7_V,Operating_Condition:Potential_0_7_V_vs_RHE,caused_by,doc_0588,doc_0588_chunk_054147,,doc_0588,other_reaction,other_reaction
Failure_Mode:6_decrease_in_ethanol_selectivity_over_6_h,Cathode:activated_dCu2O_Ag_bimetallic_alloy_catalyst,caused_by,doc_0476,doc_0476_chunk_042879,,doc_0476,unknown,unknown
Failure_Mode:Accelerated_Ru_dissolution_above_threshold_potential,Operating_Condition:Acidic_OER_at_various_current_densities,caused_by,doc_1945,doc_1945_chunk_177074,,doc_1945,other_reaction,other_reaction
Failure_Mode:Accelerated_deterioration_near_current_collector,Cathode:50_nm_Cu_ePTFE_electrode_with_non_invasive_current_collector_NICC,caused_by,doc_0560,doc_0560_chunk_051302,,doc_0560,unknown,non_reaction
Failure_Mode:Acetonitrile_decomposition_on_Cu_electrodes_at_potentials_1_V_vs_Ag_AgClO4,Operating_Condition:Potential_range_1_8_V_to_2_3_V_vs_Ag_AgClO4,caused_by,doc_0089,doc_0089_chunk_010366,,doc_0089,unknown,unknown
Failure_Mode:Acid_instability_and_collapse_of_Bi_TDC_EtOH_MOF,Electrolyte:Acidic_electrolyte_pH_2,caused_by,doc_0632,doc_0632_chunk_059213,,doc_0632,CORR,CORR
Failure_Mode:Active_material_loss_due_to_polysulfide_shuttle,Electrolyte:1_M_NaTFSI_in_PC_electrolyte,caused_by,doc_1262,doc_1262_chunk_114638,,doc_1262,CO2RR,CO2RR
Failure_Mode:Active_site_corrosion_by_H2O2_by_products,Operating_Condition:Polymer_electrolyte_membrane_fuel_cell,caused_by,doc_1821,doc_1821_chunk_166025,,doc_1821,other_reaction,other_reaction
Failure_Mode:Activity_decline_of_pre_coated_NiFe_catalysts_under_EA,Anode:Ni_felt,caused_by,doc_1606,doc_1606_chunk_146305,,doc_1606,other_reaction,other_reaction
Failure_Mode:Activity_decline_of_pre_coated_NiFe_catalysts_under_EA,Operating_Condition:Electrochemical_activation_EA_protocol,caused_by,doc_1606,doc_1606_chunk_146305,,doc_1606,other_reaction,other_reaction
Failure_Mode:Activity_decrease_due_to_V2O5_volatilization_above_673_K,Operating_Condition:Temperature_279_318_K,caused_by,doc_1224,doc_1224_chunk_111888,,doc_1224,CO2RR,CO2RR
Failure_Mode:Activity_loss_at_treatment_temperatures_above_900_C_even_under_Ar_atmosphere,Gas_Feed:High_temperature_Cl2_treatment_at_900_C,caused_by,doc_0282,doc_0282_chunk_027367,,doc_0282,CO2RR,CO2RR
Failure_Mode:Activity_loss_due_to_unstable_S1_site_degradation,Operating_Condition:Trapezoid_potential_AST,caused_by,doc_1696,doc_1696_chunk_154591,,doc_1696,other_reaction,other_reaction
Failure_Mode:Ag2S_and_SnS2_formation_reversible_on_Ag_and_Sn,Cathode:Ag_nanoparticles_on_GDL,caused_by,doc_1091,doc_1091_chunk_103027,,doc_1091,unknown,non_reaction
Failure_Mode:Ag2S_and_SnS2_formation_reversible_on_Ag_and_Sn,Cathode:Sn_nanoparticles_on_GDL,caused_by,doc_1091,doc_1091_chunk_103027,,doc_1091,unknown,non_reaction
Failure_Mode:Agglomeration,Operating_Condition:PTFE_CB_Mass_Ratio,caused_by,doc_1854,doc_1854_chunk_168728,,doc_1854,other_reaction,other_reaction
Failure_Mode:Agglomeration_and_poor_dispersion_of_high_Sudan_Red_7B_content,Cathode:Carbon_Printex_L6_with_0_5_Sudan_Red_7B,caused_by,doc_2160,doc_2160_chunk_199938,,doc_2160,unknown,unknown
Failure_Mode:Agglomeration_of_Pt_single_atoms_into_clusters_after_reforming_at_550_C,Operating_Condition:n_hexane_reforming_at_400_and_550_C_H2_pretreatment,caused_by,doc_1153,doc_1153_chunk_107085,,doc_1153,other_reaction,other_reaction
Failure_Mode:Aggregation_of_FeTMAP_catalyst,Cathode:FeTMAP_catalyst,caused_by,doc_0013,doc_0013_chunk_001280,,doc_0013,CO2RR,CO2RR
Failure_Mode:Aggregation_of_nanowires_into_large_particles_at_600_C_annealing,Operating_Condition:Annealing_at_600_C_with_sulfur_powder_and_ammonia_gas,caused_by,doc_1247,doc_1247_chunk_113536,,doc_1247,unknown,non_reaction
Failure_Mode:Al_dissolution_and_surface_amorphization_in_SAC_after_OER_cycling,Anode:Sr2AlCoO5_SAC,caused_by,doc_0362,doc_0362_chunk_033292,,doc_0362,unknown,non_reaction
Failure_Mode:Al_dissolution_and_surface_amorphization_of_Sr2AlCoO5_during_OER_in_neutral_pH,Anode:Sr2AlCoO5_SAC_Brownmillerite_oxide,caused_by,doc_2238,doc_2238_chunk_206205,,doc_2238,other_reaction,other_reaction
Failure_Mode:Al_oxidation_side_reactions,Electrolyte:2_M_Al_OTF_3_aqueous_solution,caused_by,doc_1442,doc_1442_chunk_129740,,doc_1442,unknown,unknown
Failure_Mode:Alkali_cation_induced_cathodic_corrosion,Electrolyte:Electrolyte_containing_alkali_cations,caused_by,doc_2411,doc_2411_chunk_222443,,doc_2411,CO2RR,CO2RR
Failure_Mode:Alkali_cation_induced_cathodic_corrosion,Operating_Condition:Electrode_potential_more_negative_than_0_4_V_RHE,caused_by,doc_2411,doc_2411_chunk_222443,,doc_2411,CO2RR,CO2RR
Failure_Mode:Alkylation_of_indolin_2_one_fails_alkylation_at_C2_position_occurs,Gas_Feed:Nitriles,caused_by,doc_0629,doc_0629_chunk_058915,,doc_0629,other_reaction,other_reaction
Failure_Mode:Amine_loss_due_to_volatility_in_AMP,Cathode:Ni_N_C_catalyst_on_hydrophilic_carbon_paper_with_Nafion_ionomer,caused_by,doc_0634,doc_0634_chunk_059468,,doc_0634,CO2RR,CO2RR
Failure_Mode:Amorphization_during_OER,Cathode:BSCF_pseudocubic_perovskite,caused_by,doc_1165,doc_1165_chunk_107875,,doc_1165,CO2RR,CO2RR
Failure_Mode:Anion_crossover,Anode:Anodic_oxidation_reactions,caused_by,doc_1757,doc_1757_chunk_160559,,doc_1757,other_reaction,other_reaction
Failure_Mode:Anion_crossover_reducing_purity_and_yield,Anode:Organic_compound_oxidation_via_direct_and_indirect_pathways,caused_by,doc_1757,doc_1757_chunk_160559,,doc_1757,other_reaction,other_reaction
Failure_Mode:Anode_catalyst_layer_degradation_with_acidified_anode_water_feed,Gas_Feed:Anode_water_feed_with_deionized_water_or_diluted_sulfuric_acid,caused_by,doc_1878,doc_1878_chunk_170779,,doc_1878,other_reaction,other_reaction
Failure_Mode:Anode_ionomer_degradation,Operating_Condition:Pure_water_feed,caused_by,doc_1912,doc_1912_chunk_173782,,doc_1912,CO2RR,CO2RR
Failure_Mode:Anode_oxidation,Gas_Feed:Nitrogen_feed_to_anode_during_fuel_starvation,caused_by,doc_1327,doc_1327_chunk_119967,,doc_1327,CO2RR,CO2RR
Failure_Mode:Anolyte_acidification_due_to_co_ion_crossover,Electrolyte:KOH_or_CsOH_anolyte,caused_by,doc_2126,doc_2126_chunk_195621,,doc_2126,other_reaction,other_reaction
Failure_Mode:Anolyte_pH_drop_causes_Ni_anode_corrosion_and_contamination,Anode:IrO2_anode,caused_by,doc_0879,doc_0879_chunk_082792,,doc_0879,other_reaction,other_reaction
Failure_Mode:Anolyte_pH_drop_causing_Ni_anode_dissolution,Operating_Condition:Anolyte_volume_40_200_ml_with_refresh_every_18_24_h,caused_by,doc_1694,doc_1694_chunk_154420,,doc_1694,other_reaction,other_reaction
Failure_Mode:Aryl_iodide_chloride_and_alkenyl_triflates_unsuccessful,Gas_Feed:Aryl_bromides_substrate,caused_by,doc_1489,doc_1489_chunk_133951,,doc_1489,other_reaction,other_reaction
Failure_Mode:Au_nanoparticle_sintering,Cathode:Au_nanoparticles_on_Cu,caused_by,doc_0818,doc_0818_chunk_078036,,doc_0818,other_reaction,other_reaction
Failure_Mode:Au_oxidation_to_AuOx_causing_catalyst_deactivation,Anode:Au_CoOOH_catalyst_on_CoOOH_nanosheets_on_Ni_foam,caused_by,doc_1897,doc_1897_chunk_172317,,doc_1897,other_reaction,other_reaction
Failure_Mode:Au_oxidation_to_AuOx_causing_catalyst_deactivation,Anode:Au_nanoparticles_on_CoOOH_nanosheets_Au_CoOOH,caused_by,doc_1438,doc_1438_chunk_129344,,doc_1438,other_reaction,other_reaction
Failure_Mode:BPM_delamination,Operating_Condition:10_A_total_current,caused_by,doc_0761,doc_0761_chunk_073187,,doc_0761,CO2RR,CO2RR
Failure_Mode:BPM_delamination,Separator:AEM,caused_by,doc_0761,doc_0761_chunk_073187,,doc_0761,CO2RR,CO2RR
Failure_Mode:BSCF_reduction_at_low_oxygen_partial_pressure,Operating_Condition:Temperature_500_C,caused_by,doc_1104,doc_1104_chunk_103824,,doc_1104,unknown,non_reaction
Failure_Mode:BSCF_reduction_at_low_oxygen_partial_pressure,Operating_Condition:Temperature_600_C,caused_by,doc_1104,doc_1104_chunk_103824,,doc_1104,unknown,non_reaction
Failure_Mode:Ballooning,Operating_Condition:Current_density_1000_mA_cm_2,caused_by,doc_1590,doc_1590_chunk_144555,,doc_1590,other_reaction,other_reaction
Failure_Mode:Benzimidazole_ring_opening_degradation_causing_cell_decay,Electrolyte:KOH_electrolyte,caused_by,doc_1638,doc_1638_chunk_149530,,doc_1638,other_reaction,other_reaction
Failure_Mode:Benzimidazole_ring_opening_degradation_causing_cell_decay,Electrolyte:POBP_ISM_membrane,caused_by,doc_1638,doc_1638_chunk_149530,,doc_1638,other_reaction,other_reaction
Failure_Mode:Bi_TDC_EtOH_MOF_acid_instability,Separator:Nafion_N117_proton_exchange_membrane,caused_by,doc_2424,doc_2424_chunk_223945,,doc_2424,CO2RR,CO2RR
Failure_Mode:Bi_catalyst_reconstruction_forming_Bi2O3_Bi_nanoparticles,Cathode:Bi0_1Sn_catalyst,caused_by,doc_1422,doc_1422_chunk_127966,,doc_1422,unknown,unknown
Failure_Mode:Bipolar_membrane_delamination_due_to_gas_bubble_evolution,Separator:Bipolar_Membrane,caused_by,doc_2568,doc_2568_chunk_238713,,doc_2568,other_reaction,other_reaction
Failure_Mode:Bipolar_membrane_delamination_due_to_water_formation_at_junction,Separator:Proton_exchange_membrane_PEM_at_anode_side,caused_by,doc_2072,doc_2072_chunk_190524,,doc_2072,other_reaction,other_reaction
Failure_Mode:Bipolar_membrane_instability,Separator:Bipolar_membrane,caused_by,doc_2532,doc_2532_chunk_235365,,doc_2532,CO2RR,CO2RR
Failure_Mode:Blistering,Operating_Condition:Current_density_1000_mA_cm_2,caused_by,doc_1590,doc_1590_chunk_144555,,doc_1590,other_reaction,other_reaction
Failure_Mode:Blistering,Operating_Condition:Forward_bias,caused_by,doc_2520,doc_2520_chunk_234387,,doc_2520,other_reaction,other_reaction
Failure_Mode:Bubble_clogging_and_sluggish_oxygen_bubble_detachment_limit_OER_at_high_current_densities_for_NiFe_LDH,Operating_Condition:25_C_operation,caused_by,doc_2121,doc_2121_chunk_195255,,doc_2121,other_reaction,other_reaction
Failure_Mode:Bubble_release_causing_X_ray_intensity_fluctuations,Operating_Condition:Potential_sweep_and_stepwise_variation,caused_by,doc_0876,doc_0876_chunk_082511,,doc_0876,CO2RR,CO2RR
Failure_Mode:CO2_crossover,Separator:neutral_pH_membrane_electrode_assembly,caused_by,doc_1773,doc_1773_chunk_162260,,doc_1773,CO2RR,CO2RR
Failure_Mode:CO2_loss_to_bi_carbonate_formation,Gas_Feed:CO2_gas_feed,caused_by,doc_2323,doc_2323_chunk_213525,,doc_2323,CO2RR,CO2RR
Failure_Mode:CO2_mass_transport_limitation,Operating_Condition:current_density_225_mA_cm_2,caused_by,doc_0262,doc_0262_chunk_026059,,doc_0262,unknown,unknown
Failure_Mode:CO2_mass_transport_limitation_due_to_thick_ionomer_films,Separator:Ionomer_layer,caused_by,doc_2064,doc_2064_chunk_189750,,doc_2064,CO2RR,CO2RR
Failure_Mode:CO2_mass_transport_limitation_through_thick_ionomer_films,Operating_Condition:Ionomer_loading_variation_6_and_18_ug_cm2,caused_by,doc_0753,doc_0753_chunk_072492,,doc_0753,other_reaction,other_reaction
Failure_Mode:CO2_transfer_limitations,Gas_Feed:CO2_feed_with_controlled_humidification_and_partial_pressure,caused_by,doc_1576,doc_1576_chunk_143071,,doc_1576,unknown,non_reaction
Failure_Mode:CO2_transport_blockage_leading_to_H2_production,Cathode:GDE,caused_by,doc_2155,doc_2155_chunk_199529,,doc_2155,other_reaction,other_reaction
Failure_Mode:CO2_transport_blockage_leading_to_H2_production,Operating_Condition:Current_density_25_196_mA_cm2,caused_by,doc_2155,doc_2155_chunk_199529,,doc_2155,other_reaction,other_reaction
Failure_Mode:CO_accumulation_on_Pd_nanoparticle_surface,Cathode:Pd_C_nanoparticle_coated_Ti_mesh_cathode,caused_by,doc_1780,doc_1780_chunk_162905,,doc_1780,CO2RR,CO2RR
Failure_Mode:CO_poisoning,Cathode:GDE,caused_by,doc_0863,doc_0863_chunk_081178,,doc_0863,CO2RR,CO2RR
Failure_Mode:CO_poisoning,Cathode:Pd80Ag20_C_catalyst,caused_by,doc_0361,doc_0361_chunk_033236,,doc_0361,unknown,non_reaction
Failure_Mode:CO_poisoning,Cathode:Pd80Ag20_C_catalyst,caused_by,doc_2237,doc_2237_chunk_206149,,doc_2237,other_reaction,other_reaction
Failure_Mode:CO_poisoning,Cathode:Pd_Co_N_C_catalyst,caused_by,doc_0521,doc_0521_chunk_047329,,doc_0521,CO2RR,CO2RR
Failure_Mode:CO_poisoning,Cathode:Pd_nanoparticles_catalyst,caused_by,doc_0101,doc_0101_chunk_011878,,doc_0101,other_reaction,other_reaction
Failure_Mode:CO_poisoning,Cathode:Pure_Pd_nanoparticles,caused_by,doc_0010,doc_0010_chunk_000828,,doc_0010,CO2RR,CO2RR
Failure_Mode:CO_poisoning_blocks_active_sites_causing_catalyst_degradation,Cathode:Pd80Ag20_C_catalyst,caused_by,doc_1842,doc_1842_chunk_167747,,doc_1842,other_reaction,other_reaction
Failure_Mode:CO_poisoning_of_Pd_based_catalysts,Cathode:Pd_based_bimetallic_hydride_catalyst,caused_by,doc_1303,doc_1303_chunk_117899,,doc_1303,CO2RR,CO2RR
Failure_Mode:CO_poisoning_of_Pt_sites_limits_CO2_production_at_steady_state,Gas_Feed:21_vol_O2_in_Ar,caused_by,doc_0314,doc_0314_chunk_029431,,doc_0314,unknown,unknown
Failure_Mode:CO_poisoning_of_Pt_sites_limits_CO2_production_at_steady_state,Gas_Feed:5_vol_CO_in_Ar,caused_by,doc_0314,doc_0314_chunk_029431,,doc_0314,unknown,unknown
Failure_Mode:CO_poisoning_on_Pd_ML_Pt_111_during_CO2_reduction_at_potentials_0_70_V_vs_RHE,Cathode:Pd_monolayer_on_Pt_111_electrode,caused_by,doc_1437,doc_1437_chunk_129237,,doc_1437,other_reaction,other_reaction
Failure_Mode:CO_poisoning_on_Pd_inhibits_hydrogen_adsorption_and_absorption,Operating_Condition:CO2_reduction_reaction_conditions,caused_by,doc_2328,doc_2328_chunk_214048,,doc_2328,CO2RR,CO2RR
Failure_Mode:CO_poisoning_on_Pd_surface,Cathode:Mesoporous_PdAg_alloy_nanospheres,caused_by,doc_0008,doc_0008_chunk_000669,,doc_0008,other_reaction,other_reaction
Failure_Mode:CO_poisoning_on_Pd_surface,Operating_Condition:potential_driven_deactivation_onset_at_0_3_V_for_PdC_and_PdNPs,caused_by,doc_0703,doc_0703_chunk_067152,,doc_0703,CO2RR,CO2RR
Failure_Mode:CO_poisoning_on_Pd_surface,Operating_Condition:potential_driven_deactivation_onset_at_0_74_V_for_PdC60,caused_by,doc_0703,doc_0703_chunk_067173,,doc_0703,CO2RR,CO2RR
Failure_Mode:CO_poisoning_on_Pt_111_during_formic_acid_oxidation,Cathode:Pt_111_electrode,caused_by,doc_1437,doc_1437_chunk_129224,,doc_1437,other_reaction,other_reaction
Failure_Mode:CO_poisoning_on_low_coordinated_Pt_sites,Cathode:low_coordinated_Pt_sites,caused_by,doc_0329,doc_0329_chunk_030675,,doc_0329,CO2RR,CO2RR
Failure_Mode:Ca2_and_Mg2_precipitate_blockage,Gas_Feed:NaCl_solution_or_natural_seawater_feed_to_cathode_chamber,caused_by,doc_2365,doc_2365_chunk_217805,,doc_2365,other_reaction,other_reaction
Failure_Mode:Capacity_decay,Cathode:BDPPTS_catholyte_on_CNT_paper,caused_by,doc_1399,doc_1399_chunk_125964,,doc_1399,other_reaction,other_reaction
Failure_Mode:Capacity_fade_from_isolated_dead_Li_metal_regions,Operating_Condition:Current_density_0_5_to_2_mA_cm_2,caused_by,doc_1250,doc_1250_chunk_113798,,doc_1250,CO2RR,CO2RR
Failure_Mode:Carbon_Corrosion,Operating_Condition:75_Relative_Humidity,caused_by,doc_2069,doc_2069_chunk_190214,,doc_2069,CO2RR,CO2RR
Failure_Mode:Carbon_buildup_and_coking_causing_rapid_deactivation_of_Ni_YSZ_anodes,Gas_Feed:Dry_C3H8,caused_by,doc_1134,doc_1134_chunk_105718,,doc_1134,unknown,unknown
Failure_Mode:Carbon_buildup_and_coking_causing_rapid_deactivation_of_Ni_YSZ_anodes,Gas_Feed:Wet_CO_with_3_v_water_vapour,caused_by,doc_1134,doc_1134_chunk_105721,,doc_1134,unknown,unknown
Failure_Mode:Carbon_buildup_and_coking_causing_rapid_deactivation_of_Ni_YSZ_anodes,Operating_Condition:750_C,caused_by,doc_1134,doc_1134_chunk_105718,,doc_1134,unknown,unknown
Failure_Mode:Carbon_corrosion,Cathode:PtM_bimetallic_catalysts,caused_by,doc_1424,doc_1424_chunk_128136,,doc_1424,unknown,unknown
Failure_Mode:Carbon_corrosion_and_catalyst_agglomeration,Cathode:PtM_bimetallic_catalysts,caused_by,doc_1424,doc_1424_chunk_128136,,doc_1424,unknown,unknown
Failure_Mode:Carbon_corrosion_and_catalyst_detachment,Separator:AEM,caused_by,doc_2045,doc_2045_chunk_187947,,doc_2045,other_reaction,other_reaction
Failure_Mode:Carbon_corrosion_due_to_fuel_starvation,Operating_Condition:Fuel_starvation_at_anode,caused_by,doc_1412,doc_1412_chunk_127097,,doc_1412,other_reaction,other_reaction
Failure_Mode:Carbon_corrosion_of_nitrogen_doped_carbon_and_Vulcan_carbon_supports,Operating_Condition:Potential_range_0_9_to_1_94_V_vs_RHE,caused_by,doc_1802,doc_1802_chunk_164784,,doc_1802,other_reaction,other_reaction
Failure_Mode:Carbon_coverage_blocking_reaction_sites_causing_increased_resistance,Operating_Condition:Large_cathodic_potential_of_600_mV_applied,caused_by,doc_0743,doc_0743_chunk_071837,,doc_0743,CO2RR,CO2RR
Failure_Mode:Carbon_coverage_causing_degradation_and_increased_resistance,Operating_Condition:Large_cathodic_potential_of_600_mV_applied,caused_by,doc_0743,doc_0743_chunk_071838,,doc_0743,CO2RR,CO2RR
Failure_Mode:Carbon_deposition,Anode:Porous_SFMO_scaffold_with_in_situ_grown_iron_nanoparticle_metal_oxide_interfaces,caused_by,doc_1835,doc_1835_chunk_167254,,doc_1835,CO2RR,CO2RR
Failure_Mode:Carbon_deposition_causing_Ni_based_anode_deactivation,Anode:BaZr0_1Ce0_7Y0_1Yb0_1O3_multifunctional_anode_with_Ce0_90Ni0_05Ru0_05O2_catalyst,caused_by,doc_2055,doc_2055_chunk_189058,,doc_2055,other_reaction,other_reaction
Failure_Mode:Carbon_deposition_deactivates_Ni_based_anode_in_10_minutes,Anode:BaZr0_1Ce0_7Y0_1Yb0_1O3_based_multifunctional_anode_with_CNR_catalyst,caused_by,doc_1622,doc_1622_chunk_148226,,doc_1622,unknown,non_reaction
Failure_Mode:Carbon_deposition_on_catalyst_surface,Cathode:OMe_PhCu_MOP_catalyst,caused_by,doc_0708,doc_0708_chunk_067793,,doc_0708,CO2RR,CO2RR
Failure_Mode:Carbon_deposition_on_catalyst_surface,Operating_Condition:Current_density_200_500_mA_cm_2,caused_by,doc_1616,doc_1616_chunk_147575,,doc_1616,other_reaction,other_reaction
Failure_Mode:Carbon_filament_formation_on_nickel_anode,Operating_Condition:Operating_temperature_below_700_C,caused_by,doc_0316,doc_0316_chunk_029613,,doc_0316,CORR,CORR
Failure_Mode:Carbon_support_corrosion,Operating_Condition:Polymer_electrolyte_membrane_fuel_cell,caused_by,doc_1821,doc_1821_chunk_166025,,doc_1821,other_reaction,other_reaction
Failure_Mode:Carbon_support_corrosion,Operating_Condition:Stability_test_at_10_A_g_and_1600_rpm,caused_by,doc_1125,doc_1125_chunk_105130,,doc_1125,unknown,unknown
Failure_Mode:Carbonate_ion_crossover,Electrolyte:Neutral_electrolyte,caused_by,doc_0551,doc_0551_chunk_050408,,doc_0551,unknown,non_reaction
Failure_Mode:Carbonate_precipitation_and_crossover_causing_electrolyte_and_CO2_losses,Electrolyte:KOH_electrolyte,caused_by,doc_2072,doc_2072_chunk_190559,,doc_2072,other_reaction,other_reaction
Failure_Mode:Carbonate_precipitation_on_GDL_macroporous_layer,Separator:Gas_diffusion_layer_GDL,caused_by,doc_0147,doc_0147_chunk_016270,,doc_0147,CO2RR,CO2RR
Failure_Mode:Carbonate_salt_precipitation,Electrolyte:Amine_capture_media,caused_by,doc_1915,doc_1915_chunk_174123,,doc_1915,other_reaction,other_reaction
Failure_Mode:Carbonation,Cathode:GDE,caused_by,doc_0938,doc_0938_chunk_089912,,doc_0938,other_reaction,other_reaction
Failure_Mode:Carbonation,Operating_Condition:High_current_density,caused_by,doc_2133,doc_2133_chunk_197008,,doc_2133,CO2RR,CO2RR
Failure_Mode:Catalyst_activity_loss_due_to_Re_carbonyl_moiety_leaching,Cathode:Re_complex_in_MOF_4,caused_by,doc_0183,doc_0183_chunk_019180,,doc_0183,CORR,CORR
Failure_Mode:Catalyst_agglomeration,Cathode:PtM_bimetallic_catalysts,caused_by,doc_1424,doc_1424_chunk_128136,,doc_1424,unknown,unknown
Failure_Mode:Catalyst_aggregation,Cathode:Copper_I_oxide_cubes,caused_by,doc_0445,doc_0445_chunk_040025,,doc_0445,CO2RR,CO2RR
Failure_Mode:Catalyst_aggregation,Gas_Feed:Nitrogen_feed_to_anode_during_fuel_starvation,caused_by,doc_1327,doc_1327_chunk_119967,,doc_1327,CO2RR,CO2RR
Failure_Mode:Catalyst_deactivation,Cathode:Co_phthalocyanine_molecular_electrocatalyst,caused_by,doc_0790,doc_0790_chunk_075760,,doc_0790,other_reaction,other_reaction
